# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
10CO84000.W03nC00.7.6.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	0D	2	-540	134	1	0	1	0
10CO84200.W03nC00.6.6.D.0.-.-.0.L.H	rust-surveyor-v0.1.0	06	2	-720	130	1	1	0	0
10CO84200.W03nC10.6.5.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0C	2	-855	156	1	0	1	0
10CO84300.W03nC10.5.5.D.0.-.-.0.L.J	rust-surveyor-v0.1.0	05	2	-645	122	1	1	0	0
10CO84300.W03nC1W.5.4.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0B	2	-2145	146	1	0	1	0
10CO84300.W03nC1m.5.3.L.W0.-.-.1.D.M	rust-pathfinder-v0.1.0	0W	2	-536870912	840	1	0	1	0
10CO843W0.W03nC1W.4.4.D.0.-.-.0.L.L	rust-surveyor-v0.1.0	04	2	930	114	1	1	0	0
10CS84300.W03nC1m.4.3.D.0.-.-.0.L.N	rust-surveyor-v0.1.0	0B	2	999999976	83	1	1	0	0
10G80m9.10V00040.7.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	0h	2	370	171	1	1	0	0
10G80m9.30V00040.7.6.L.0.-.-.0.D.G	rust-surveyor-v0.1.0	0b	2	-2440	166	1	0	1	0
10G80m9.70V00040.7.5.L.2000000.-.-.1.D.I	rust-surveyor-v0.1.0	0T	2	-536870912	1088	1	0	1	0
10P6h1WO.1WC6W0mO6.0.1.D.10000.P.-.1.L.b	rust-surveyor-v0.1.0	0S	2	-625	252	1	0	1	0
10P6h1WO.1WC6m0mO6.0.0.L.0.P.-.0.D.c	rust-pathfinder-v0.1.0	Ix	2	-195	859	1	1	0	0
10W00.K000200.C.B.L.8000000.-.-.1.D.6	rust-pathfinder-v0.1.0	0V	2	-300	213	1	1	0	0
10W000.1000000W0.C.C.L.0.-.-.0.D.4	rust-surveyor-v0.1.0	0i	2	55	221	1	1	0	0
10W004021.41W00010.9.A.D.0.-.-.0.L.9	rust-surveyor-v0.1.0	0b	2	-535	234	1	1	0	0
10W004021.43W00010.9.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	0X	2	-165	191	1	0	1	0
10W00421.80GC000.9.A.D.0.-.-.0.L.9	rust-surveyor-v0.1.0	0M	2	-165	196	1	1	0	0
10W00421.80GS000.9.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	03	2	-535	191	1	0	1	0
10W00429.80GS000.8.9.D.0.-.-.0.L.B	rust-surveyor-v0.1.0	0N	2	185	150	1	1	0	0
10W00429.80Gy000.8.8.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	05	2	-830	216	1	0	1	0
10W0042f.80Gy000.7.8.D.0.-.-.0.L.D	rust-surveyor-v0.1.0	0O	2	480	176	1	1	0	0
10W0042f.80Hy000.7.7.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	04	2	-1310	138	1	0	1	0
10W0042v.80H-000.6.6.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	0C	2	-11500	161	1	0	1	0
10W0042v.80Hy000.6.7.D.0.-.-.0.L.F	rust-surveyor-v0.1.0	0J	2	905	134	1	1	0	0
10W0052v.80H-000.5.6.D.0.-.-.0.L.H	rust-surveyor-v0.1.0	0G	2	775	184	1	1	0	0
10W0052v.80H-G00.5.5.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0Q	2	-665	122	1	0	1	0
10W00G84.1C0000400.9.A.D.0.-.-.0.L.9	rust-pathfinder-v0.1.0	0F	2	-810	196	1	0	1	0
10W00G84.1C0000C00.9.9.L.0.-.-.0.D.A	rust-surveyor-v0.1.0	0H	2	240	411	1	1	0	0
10W00m84.1C0000C00.8.9.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	0M	2	-700	186	1	0	1	0
10W00m84.1C000GC00.8.8.L.0.-.-.0.D.C	rust-surveyor-v0.1.0	0I	2	55	251	1	1	0	0
10W01XWG.1u3000000.7.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	0c	2	-80	176	1	0	1	0
10W01XWG.1u7000000.7.7.L.0.-.-.0.D.E	rust-surveyor-v0.1.0	0S	2	-510	171	1	1	0	0
10W01m84.1C000GC00.7.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	0T	2	-515	142	1	0	1	0
10W01m84.1C00WGC00.7.7.L.0.-.-.0.D.E	rust-surveyor-v0.1.0	0P	2	-130	237	1	1	0	0
10W084WPe.mG0003c0.4.6.D.0.-.-.0.L.J	rust-surveyor-v0.1.0	0Y	2	-1565	849	1	0	1	0
10W084WPe.mGG003c0.4.5.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0i	2	480	230	1	1	0	0
10W08C08.2G0003.8.A.D.0.-.-.0.L.B	rust-surveyor-v0.1.0	02	2	-225	264	1	0	1	0
10W08C08.2G0007.8.9.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	04	2	-370	366	1	1	0	0
10W08C0O.2G0007.7.9.D.0.-.-.0.L.D	rust-surveyor-v0.1.0	0W	2	-170	181	1	0	1	0
10W08C0O.6G0007.7.8.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0Y	2	-370	244	1	1	0	0
10W21m84.1C00WGC00.6.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	0U	2	-535	166	1	0	1	0
10W21m84.1C01WGC00.6.6.L.0.-.-.0.D.G	rust-surveyor-v0.1.0	0b	2	-55	130	1	1	0	0
10W4052v.80HyG00.4.6.D.2000.-.-.1.L.J	rust-surveyor-v0.1.0	0P	2	95	119	1	1	0	0
10W4052v.80JyG00.4.5.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0J	2	-1770	118	1	0	1	0
10W4052v.80JzG00.4.4.L.2000.-.-.1.D.M	rust-pathfinder-v0.1.0	0H	2	-536870912	840	1	0	1	0
10W40b2v.80JzG00.3.4.D.0.-.-.0.L.N	rust-surveyor-v0.1.0	0J	2	999999976	83	1	1	0	0
10W4252v.80JyG00.3.5.D.0.-.-.0.L.L	rust-surveyor-v0.1.0	0I	2	700	114	1	1	0	0
10W804021.43W00010.8.9.D.0.-.-.0.L.B	rust-surveyor-v0.1.0	05	2	-480	186	1	1	0	0
10W804021.43W0001W.8.8.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	0e	2	-55	181	1	0	1	0
10WG1XWG.1u7000000.6.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	0E	2	-240	166	1	0	1	0
10WG1XWG.1u7000400.6.6.L.0.-.-.0.D.G	rust-surveyor-v0.1.0	0M	2	-165	161	1	1	0	0
10WG8000.W0080001.A.B.D.0.-.-.0.L.7	rust-surveyor-v0.1.0	01	2	-570	166	1	0	1	0
10WG8000.W0080003.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	03	2	-75	201	1	1	0	0
10WG8008.W0080003.9.A.D.0.-.-.0.L.9	rust-surveyor-v0.1.0	02	2	-625	158	1	0	1	0
10WG8008.W0080007.9.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	04	2	-295	598	1	1	0	0
10WG800O.W0080007.8.9.D.0.-.-.0.L.B	rust-surveyor-v0.1.0	09	2	-350	186	1	0	1	0
10WG800O.W0080087.8.8.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	0B	2	-295	251	1	1	0	0
10WG80WO.W0080087.7.8.D.0.-.-.0.L.D	rust-surveyor-v0.1.0	0H	2	-165	210	1	0	1	0
10WG80WO.W0080W87.7.7.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0m	2	-590	237	1	1	0	0
10WGGeS21.13dW2000.3.5.D.0.-.-.0.L.L	rust-pathfinder-v0.1.0	0K	2	-110	114	1	1	0	0
10WGGeS21.13dW6000.3.4.L.0.-.-.0.D.M	rust-surveyor-v0.1.0	0P	2	-11280	136	1	0	1	0
10WGGeS21.13dW7000.3.3.L.20000.-.-.1.D.O	rust-surveyor-v0.1.0	0R	2	-536870912	728	1	0	1	0
10WGHXWG.1u7000400.5.6.D.0.-.-.0.L.H	rust-pathfinder-v0.1.0	05	2	-11205	156	1	0	1	0
10WGHXWG.1u700040W.5.5.L.0.-.-.0.D.I	rust-surveyor-v0.1.0	06	2	-55	261	1	1	0	0
10WGHXXG.1u7000400.4.6.D.W.-.-.1.L.J	rust-pathfinder-v0.1.0	0N	2	-11315	148	1	0	1	0
10WGHXXG.1u700W400.4.5.L.0.-.-.0.D.K	rust-surveyor-v0.1.0	0O	2	350	146	1	1	0	0
10WGIeS21.13dW6000.2.4.D.0.-.-.0.L.N	rust-pathfinder-v0.1.0	0I	2	240	131	1	1	0	0
10WGOeS21.13dW7000.2.3.D.0.-.-.0.L.P	rust-pathfinder-v0.1.0	0P	2	999999974	77	1	1	0	0
10WH.104G0000.A.B.D.0.-.-.0.L.7	rust-pathfinder-v0.1.0	0V	2	-350	246	1	1	0	0
10WH.106G0000.A.A.L.0.-.-.0.D.8	rust-surveyor-v0.1.0	0Y	2	-265	240	1	0	1	0
10WHHXXG.1u7000400.3.6.D.W000.-.-.1.L.L	rust-pathfinder-v0.1.0	05	2	-11645	143	1	0	1	0
10WHHXXG.1u700040W.3.5.L.0.-.-.0.D.M	rust-surveyor-v0.1.0	0N	2	10560	140	1	1	0	0
10WH_XX0.1u700040u.0.3.D.200.-.-.1.L.T	rust-pathfinder-v0.1.0	0T	2	-12145	213	1	0	1	0
10WH_XX0.1u70W040u.0.2.L.0.-.-.0.D.U	rust-surveyor-v0.1.0	9P	2	999999969	962	1	1	0	0
10WHnXX0.1u700040e.3.4.L.G.-.-.1.D.O	rust-surveyor-v0.1.0	0J	2	11390	133	1	1	0	0
10WHnXXG.1u700040W.2.5.D.0.-.-.0.L.N	rust-pathfinder-v0.1.0	03	2	-12090	776	1	0	1	0
10WHpXX0.1u700040e.2.4.D.0.-.-.0.L.P	rust-pathfinder-v0.1.0	04	2	-12145	131	1	0	1	0
10WHpXX0.1u700040u.2.3.L.0.-.-.0.D.Q	rust-surveyor-v0.1.0	0L	2	11685	102	1	1	0	0
10WHxXX0.1u700040u.1.3.D.0.-.-.0.L.R	rust-pathfinder-v0.1.0	0D	2	-13010	635	1	0	1	0
10WHxXX0.1u700060u.1.2.L.0.-.-.0.D.S	rust-surveyor-v0.1.0	0K	2	12015	94	1	1	0	0
10WM31W69.OO1qmG9W.1.0.L.800000.3.-.1.D.o	rust-surveyor-v0.1.0	0A	2	370	83	1	1	0	0
10WM31WM9.OO1qmG1W.0.1.D.80.-.-.1.L.p	rust-pathfinder-v0.1.0	0X	2	-850	111	1	0	1	0
10WM31WM9.OO9qmG1W.0.0.L.0.-.-.0.D.q	rust-surveyor-v0.1.0	7K	2	905	922	1	1	0	0
10WMB1WI9.OO9mmG1W.0.1.D.40000.R.-.1.L.r	rust-pathfinder-v0.1.0	0F	2	-11630	207	1	0	1	0
10WMB1WI9.OO9mmO1W.0.0.L.0.R.-.0.D.s	rust-surveyor-v0.1.0	1B	2	999999945	813	1	1	0	0
10WU31W69.OO1mmG9W.0.1.D.G0.3.A.1.L.n	rust-pathfinder-v0.1.0	0Q	2	-1900	83	1	0	1	0
10WWS4.u049K00.7.6.D.0.-.-.0.L.H	rust-surveyor-v0.1.0	0c	2	-860	629	1	0	1	0
10WWS4.y049K00.7.5.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0O	2	15	192	1	1	0	0
