# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
10W100000.30.B.C.D.0.-.-.0.L.5	rust-handcrafted-g0	05	2	-110	216	1	1	0	0
10W100000.3W.B.B.L.0.-.-.0.D.6	rust-evo-g1-c0-279-109-820-53-117-66	01	2	-611	252	1	0	1	0
10W100000.3W.B.B.L.0.-.-.0.D.6	rust-handcrafted-g0	01	2	-535	252	1	0	1	0
10W100002.3W.A.B.D.0.-.-.0.L.7	rust-evo-g1-c0-279-109-820-53-117-66	0G	2	-271	206	1	1	0	0
10W100002.3W.A.B.D.0.-.-.0.L.7	rust-handcrafted-g0	0G	2	-240	206	1	1	0	0
10W100002.G3W.A.A.L.0.-.-.0.D.8	rust-evo-g1-c0-279-109-820-53-117-66	0N	2	-324	201	1	0	1	0
10W100002.G3W.A.A.L.0.-.-.0.D.8	rust-handcrafted-g0	0N	2	-240	162	1	0	1	0
10W10W002.G3W.9.A.D.0.-.-.0.L.9	rust-evo-g1-c0-279-109-820-53-117-66	09	2	-505	536	1	1	0	0
10W10W002.G3W.9.A.D.0.-.-.0.L.9	rust-handcrafted-g0	09	2	-480	573	1	1	0	0
10W10W002.GBW.9.9.L.0.-.-.0.D.A	rust-evo-g1-c0-279-109-820-53-117-66	08	2	-377	154	1	0	1	0
10W10W002.GBW.9.9.L.0.-.-.0.D.A	rust-handcrafted-g0	08	2	-275	154	1	0	1	0
10W10W042.200GBW.8.8.L.0.-.-.0.D.C	rust-evo-g1-c0-279-109-820-53-117-66	0T	2	-207	458	1	0	1	0
10W10W042.200GBW.8.8.L.0.-.-.0.D.C	rust-handcrafted-g0	0T	2	-90	424	1	0	1	0
10W10W042.GBW.8.9.D.0.-.-.0.L.B	rust-evo-g1-c0-279-109-820-53-117-66	0V	2	-1395	257	1	1	0	0
10W10W042.GBW.8.9.D.0.-.-.0.L.B	rust-handcrafted-g0	0V	2	-1255	257	1	1	0	0
10W1WW042.200GBW.7.8.D.0.-.-.0.L.D	rust-evo-g1-c0-279-109-820-53-117-66	0A	2	-1342	372	1	1	0	0
10W1WW042.200GBW.7.8.D.0.-.-.0.L.D	rust-handcrafted-g0	0A	2	-1200	372	1	1	0	0
