# state	action	visits	wins	losses	draws
100G8Ci21.110WWJX0.4.5.L.0.-.-.0.D.K	0A	1	1	0	0
100G8Ci21.110WWJf0.4.4.L.G0.-.-.1.D.M	0M	1	1	0	0
100G8CiI1.110WWJX0.3.5.D.0.-.-.0.L.L	09	1	0	1	0
100G8Si21.110WWJf0.3.4.D.0.-.-.0.L.N	0A	1	0	1	0
100G8Si21.110WWJv0.3.3.L.0.-.-.0.D.O	0O	1	1	0	0
100G8SiI9.112WWJf6.1.1.L.100000.U.-.1.D.W	0O	1	1	0	0
100G9Si21.110W0Jv0.2.4.D.W000.-.-.1.L.P	01	1	0	1	0
100G9Si21.110W0Jv2.2.3.L.0.-.-.0.D.Q	03	1	1	0	0
100G9Si29.110W0Jf2.1.4.D.G0.-.-.1.L.R	0N	1	0	1	0
100G9Si29.110WWJf2.1.3.L.0.-.-.0.D.S	0A	1	1	0	0
100G9SiI9.110WWJf2.0.3.D.0.-.-.0.L.T	02	1	0	1	0
100G9SiI9.110WWJf6.0.2.L.0.-.-.0.D.U	Jd	1	1	0	0
100G9SiI9.112W0Jf6.0.2.D.W000.-.-.1.L.X	0f	1	0	1	0
100G9SiI9.1X2W0Jf6.0.1.L.0.-.-.0.D.Y	RH	1	1	0	0
100GC4C2.1Wo820.6.7.D.W00000.-.-.1.L.H	0G	1	0	1	0
100GC4C2.1WoO20.6.6.L.0.-.-.0.D.I	0Z	1	1	0	0
100H8SiI9.110WWJf6.0.2.D.0.U.-.0.L.V	0V	1	0	1	0
100J9bYO.1W0mOO7.1.3.L.W0000.-.-.1.D.S	0V	1	0	1	0
100K01.W00.A.D.D.800.-.-.1.L.7	07	1	0	1	0
100K01.W20.A.C.L.0.-.-.0.D.8	0F	1	1	0	0
100Oeqw1W.GG0234cU.0.1.D.W000000.m.e.1.L.X	0A	1	0	1	0
100Oeqw1W.GG0234sU.0.0.L.0.m.-.0.D.Y	5F	1	1	0	0
100S01.1W20.9.B.L.0.-.-.0.D.A	0L	1	1	0	0
100S01.W20.9.C.D.0.-.-.0.L.9	0I	1	0	1	0
100W0000.20000000.C.D.D.0.-.-.0.L.3	07	1	0	1	0
100W0000.20000020.C.C.L.0.-.-.0.D.4	09	1	1	0	0
100W0080.20000020.B.C.D.0.-.-.0.L.5	08	1	0	1	0
100W0080.20000060.B.B.L.0.-.-.0.D.6	0A	1	1	0	0
100W00O0.20000060.A.B.D.0.-.-.0.L.7	0i	1	0	1	0
100W00O0.60000060.A.A.L.0.-.-.0.D.8	02	1	1	0	0
100W00O4.60000060.9.A.D.0.-.-.0.L.9	01	1	0	1	0
100W00O4.60000062.9.9.L.0.-.-.0.D.A	00	1	1	0	0
100W00O5.60000060.8.A.D.2.-.-.1.L.B	0E	1	0	1	0
100W00O5.60000460.8.9.L.0.-.-.0.D.C	0G	1	1	0	0
100W0GO5.60000460.7.9.D.0.-.-.0.L.D	01	1	0	1	0
100W0GO5.60000462.7.8.L.0.-.-.0.D.E	03	1	1	0	0
100W0GOD.60000462.6.8.D.0.-.-.0.L.F	0F	1	0	1	0
100W0GOD.60000C62.6.7.L.0.-.-.0.D.G	0H	1	1	0	0
100W0mOD.60000C62.5.7.D.0.-.-.0.L.H	0M	1	0	1	0
100W0mOD.6000GC62.5.6.L.0.-.-.0.D.I	0a	1	1	0	0
100WXm8.600C1.7.9.D.0.-.-.0.L.D	02	1	0	1	0
100WXm8.600C5.7.8.L.0.-.-.0.D.E	04	1	1	0	0
100WXmO.600C5.6.8.D.0.-.-.0.L.F	0G	1	0	1	0
100WXmO.60GC5.6.7.L.0.-.-.0.D.G	0F	1	1	0	0
100WXmO.6G0C5.6.7.L.800.-.-.1.D.I	0O	1	1	0	0
100WfmO.600C5.5.8.D.G00.-.-.1.L.H	0M	1	0	1	0
100WmSY.h2H0000D.5.4.D.0.-.-.0.L.L	0i	1	1	0	0
100WmSY.l2H0000D.5.3.L.0.-.-.0.D.M	0k	1	0	1	0
100XO422.4_G0000.6.6.D.0.-.-.0.L.H	0a	1	1	0	0
100XO422.5_G0000.6.5.L.0.-.-.0.D.I	0G	1	0	1	0
