# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
100GA421.gG000.7.A.D.W00000.-.-.1.L.F	lunatic-v0.1.0	0N	1	500	37	1	0	1	0
100GA421.gm000.7.9.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	0Z	4	999999983	363	1	1	0	0
100GE42X.10y0.5.9.D.W00000.-.-.1.L.H	lunatic-v0.1.0	0C	1	500	34	1	0	1	0
100GE42X.11y0.5.8.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0Z	4	999999981	332	1	1	0	0
100GO.200005.A.B.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0H	4	670	19735	1	1	0	0
100GO.5.A.C.D.W00.-.-.1.L.7	lunatic-v0.1.0	0V	1	850	42	1	0	1	0
100GO06.40000MH.8.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	09	4	20	6312	1	1	0	0
100GO06.40000UH.8.7.L.0.-.-.0.D.E	lunatic-v0.1.0	05	1	500	36	1	0	1	0
100GO0c.40000UH.7.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	03	4	885	19560	1	1	0	0
100GO0c.40000UP.7.6.L.0.-.-.0.D.G	lunatic-v0.1.0	0B	1	850	34	1	0	1	0
100GOW6.40000VP.7.5.L.W.-.-.1.D.I	lunatic-v0.1.0	0C	1	500	32	1	0	1	0
100GOWc.40000UP.6.6.D.0.-.-.0.L.H	rust-pathfinder-v0.1.0	06	4	536870911	484	1	1	0	0
100GPW6.40000VP.6.5.D.0.-.-.0.L.J	rust-pathfinder-v0.1.0	05	4	999999980	314	1	1	0	0
100I802.e000.9.C.D.W0000.-.-.1.L.9	lunatic-v0.1.0	08	1	1200	41	1	0	1	0
100I802.e040.9.B.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	0Q	4	100	54925	1	1	0	0
100K8421p.42X-8.3.4.L.0.-.-.0.D.U	rust-pathfinder-v0.1.0	0f	4	999999969	274	1	1	0	0
100K8421p.42XU8.3.5.D.W000000.-.-.1.L.T	lunatic-v0.1.0	0B	1	500	28	1	0	1	0
100O61.100I002.8.A.D.W000.-.-.1.L.D	lunatic-v0.1.0	0b	1	850	38	1	0	1	0
100O61.300I002.8.9.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0L	4	330	44316	1	1	0	0
100S431.XG13W4.6.6.D.W0000.-.-.1.L.J	rust-pathfinder-v0.1.0	0V	4	-675	6722	1	1	0	0
100S431.ZG13W4.6.5.L.0.-.-.0.D.K	lunatic-v0.1.0	0T	1	1550	32	1	0	1	0
