# p1	seed64	light	dark	winner	reason	2-char-actions
p1	1umv0j	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0K02060D0C0B000C070I0E0Z0L0S0T0U0M0T0a0V0T0b0h0a0N0P010O
p1	1umv0k	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0J0a0d00040B0I0P0W0B0F0P0k0C0I0Q0B0A0P0O0B0P0H0N0V0L0O
p1	1umv0l	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0V0O0H00030A090B020D0G080C0905040I060J050107
p1	1umv0m	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0K0I00070J080E09070L050A0S0B0L0Z0g0C0Z
p1	1umv0n	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0Y0a0f0D0C0B050A0C0m0J0l0I06040k0H0O0P0B0N0b0C0j0Z0g0h0i000h
p1	1umv0o	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	000k0f0g0X0h0Y0m0l0e0Q07050C0E080J070C0L0d0W0e
p1	1umv0p	lunatic-v0.1.0	rust-pathfinder-v0.1.0	L	P	020F0G0H090G0N08070G0E08000K0M0T0I0S0L0Z0M0a0U0V0b0W0U0c0i030b
p1	1umv0q	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0B050403010204000J010Q0X0C0A0I0H0P0W0d0O0k0W0e0V0X
p1	1umv0r	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0D0G0K0X0Y0R0W0Q040X0B0H0I0P0O0N000O070M0L0E0F08090F
p1	1umv0s	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	080U000S0L0E0T0F0L010M0G070a0E0V0h0W0a
p1	1umv0t	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0G000209080A010D0F070B08040C0I0B
p1	1umv0u	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0X0E090F0H0G0N020G00010b080Z0U0a0i0c0b
