# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
1000.80.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0B	1	850	47	1	0	1	0
1000.80.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0B	4	110	13048	1	1	0	0
1000.G00.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0B	4	110	9293	1	1	0	0
1000.G0000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0P	4	-50	12676	1	1	0	0
1000.K000000.D.C.L.8000000.-.-.1.D.4	lunatic-v0.1.0	04	1	500	45	1	0	1	0
1000.W.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	04	1	850	47	1	0	1	0
1000.W.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	03	4	-30	14356	1	1	0	0
1000.W000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0P	4	55	13533	1	1	0	0
1000.W0000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0W	1	850	47	1	0	1	0
1000.W0000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0P	4	30	11758	1	1	0	0
1000.e.D.C.L.G.-.-.1.D.4	lunatic-v0.1.0	0B	1	500	45	1	0	1	0
10000.1000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0H	1	850	47	1	0	1	0
10000.1000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0H	4	80	14552	1	1	0	0
10000.1G00.D.C.L.W00.-.-.1.D.4	lunatic-v0.1.0	03	1	500	45	1	0	1	0
10000.1G00.D.C.L.W00.-.-.1.D.4	rust-pathfinder-v0.1.0	0E	4	-225	11719	1	1	0	0
10000.2000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0H	1	850	47	1	0	1	0
10000.20000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Q	1	10000	47	1	0	1	0
10000.2000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0U	4	-105	18797	1	1	0	0
10000.200W000.D.C.L.100000.-.-.1.D.4	rust-pathfinder-v0.1.0	0j	4	-250	18707	1	1	0	0
10000.400.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	01	4	-25	16486	1	1	0	0
10000.40000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	03	1	500	47	1	0	1	0
10000.4000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0H	4	-25	10732	1	1	0	0
10000.40000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0j	1	850	47	1	0	1	0
10000.8.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	00	1	850	47	1	0	1	0
10000.8.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	02	4	-30	16205	1	1	0	0
10000.800.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0H	1	850	47	1	0	1	0
10000.8000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	02	4	-25	12650	1	1	0	0
10000.A.D.C.L.4.-.-.1.D.4	rust-pathfinder-v0.1.0	05	4	-270	11096	1	1	0	0
10000.G0.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0G	4	-25	14604	1	1	0	0
10000.G000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	03	1	500	47	1	0	1	0
10000.G00000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	01	4	-25	15718	1	1	0	0
10000.G0000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0j	1	850	47	1	0	1	0
10000.K0000000.D.C.L.80000000.-.-.1.D.4	lunatic-v0.1.0	03	1	500	45	2	0	2	0
10000.W000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0c	1	850	47	1	0	1	0
100000.1000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0S	4	110	11873	1	1	0	0
100000.100000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0b	4	30	16332	1	1	0	0
100000.2.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	02	1	850	47	1	0	1	0
100000.2000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0N	4	30	12082	1	1	0	0
100000.200000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0W	1	10000	47	1	0	1	0
100000.2000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0i	1	11350	47	1	0	1	0
100000.40.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0C	4	-130	14516	1	1	0	0
100000.400.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0N	4	-50	14742	1	1	0	0
100000.40000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0N	1	850	47	1	0	1	0
100000.400000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0b	4	110	10326	1	1	0	0
100000.4000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0b	1	850	47	2	0	2	0
100000.4000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0A	4	110	13338	1	1	0	0
100000.40000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0g	1	850	47	1	0	1	0
100000.5000000.D.C.L.2000000.-.-.1.D.4	lunatic-v0.1.0	02	1	500	45	2	0	2	0
100000.5000000.D.C.L.2000000.-.-.1.D.4	rust-pathfinder-v0.1.0	0h	4	-110	10760	1	1	0	0
100000.8000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0B	4	110	13114	1	1	0	0
100000.80000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0h	4	-30	11818	1	1	0	0
100000.A.D.C.L.4.-.-.1.D.4	lunatic-v0.1.0	09	1	500	45	1	0	1	0
100000.G0.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	01	4	-160	15315	1	1	0	0
100000.G0000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	02	1	500	47	1	0	1	0
100000.G00000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	02	1	500	47	1	0	1	0
100000.G0000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0b	4	110	17871	1	1	0	0
100000.W00.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0K	4	-55	13555	1	1	0	0
1000000.100000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0T	1	850	47	1	0	1	0
1000000.10000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0h	4	-75	9068	1	1	0	0
1000000.1G0000.D.C.L.W0000.-.-.1.D.4	lunatic-v0.1.0	01	1	500	45	1	0	1	0
1000000.2000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0E	4	-80	10660	1	1	0	0
1000000.4000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	01	1	500	47	2	0	2	0
1000000.4000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0S	4	110	10732	1	1	0	0
1000000.50000000.D.C.L.20000000.-.-.1.D.4	rust-pathfinder-v0.1.0	0e	4	-405	8521	1	1	0	0
1000000.8.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	01	1	850	47	1	1	0	0
1000000.80.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	02	4	-135	20893	1	1	0	0
1000000.800.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0E	1	850	47	1	0	1	0
1000000.80000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0M	1	850	47	1	0	1	0
1000000.800000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	55	8926	1	1	0	0
1000000.G0.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	03	4	-105	12935	1	1	0	0
1000000.G00.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	00	4	-185	16468	2	2	0	0
1000000.G00000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0T	4	-25	9526	1	0	1	0
1000000.W00.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	02	4	0	12565	1	1	0	0
1000000.W000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	06	4	-185	15081	1	1	0	0
1000000.W00000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	01	1	500	47	2	0	2	0
1000000.W0000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0h	1	850	47	1	0	1	0
10000000.1000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0G	4	0	14024	1	1	0	0
10000000.20.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	02	4	-185	17001	1	1	0	0
10000000.200000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0S	1	850	47	1	0	1	0
10000000.200000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	01	4	-135	13681	2	2	0	0
10000000.4.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	0	15342	1	1	0	0
10000000.40.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	01	4	-105	14373	1	1	0	0
10000000.400.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0H	4	-185	17134	1	1	0	0
10000000.40000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	00	1	500	47	1	0	1	0
10000000.80.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	07	1	850	47	1	0	1	0
10000000.G.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	00	1	850	47	1	0	1	0
10000000.G.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	01	4	0	10654	1	1	0	0
10000000.G00000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0S	1	850	47	2	0	2	0
10000000.G000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0Z	4	-80	14728	1	1	0	0
10000000.W0000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0W	4	-130	16264	1	1	0	0
10000000.W00000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0S	4	-20	34812	1	0	1	0
10000000.W000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0Z	4	-155	18848	1	1	0	0
10000000.W0000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	00	1	500	47	1	0	1	0
100000000.100.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0D	1	850	47	1	0	1	0
100000000.10000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0R	4	-110	11272	2	2	0	0
100000000.10000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	01	4	-55	10022	1	1	0	0
100000000.2.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	00	4	25	10992	1	1	0	0
100000000.40.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0D	1	850	47	1	0	1	0
100000000.4000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	05	4	-75	16888	1	1	0	0
100000000.800000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Y	1	850	47	1	1	0	0
100000000.800000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0T	4	-130	15859	1	1	0	0
100000000.G0000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	09	4	-210	19137	1	0	1	0
100000000.G00000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0S	1	850	47	1	0	1	0
100000000.G0000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	06	1	500	47	1	0	1	0
100000000.W.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	06	1	850	47	1	0	1	0
100000000.W00.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	04	4	-130	15774	1	1	0	0
100000000.W000000.D.D.L.0.-.-.0.D.2	lunatic-v0.1.0	0Y	1	11350	47	1	0	1	0
100000000.W0000000.D.D.L.0.-.-.0.D.2	rust-pathfinder-v0.1.0	0b	4	55	18947	1	1	0	0
100000001.2.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	02	1	500	46	1	0	1	0
100000001.6.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	07	4	25	11047	1	1	0	0
100000002.10000000.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	07	1	500	46	1	0	1	0
100000002.10000020.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	02	4	0	11658	1	1	0	0
100000006.10000020.B.C.D.0.-.-.0.L.5	lunatic-v0.1.0	08	1	500	44	1	0	1	0
100000006.10000060.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	03	4	5	18929	1	1	0	0
10000000E.10000060.A.B.D.0.-.-.0.L.7	lunatic-v0.1.0	09	1	500	42	1	0	1	0
10000000E.100000E0.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0F	4	60	7501	1	1	0	0
10000000G.W00.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	0E	1	500	46	1	0	1	0
10000000G.a00.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	0B	4	-105	11697	1	1	0	0
10000000W.4000000.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	0Z	1	500	46	1	0	1	0
10000000W.4W00000.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	0a	4	-55	12105	1	1	0	0
10000000W.6W00000.C.B.L.1000000.-.-.1.D.6	rust-pathfinder-v0.1.0	0f	4	-350	8081	1	1	0	0
10000000W.K0000000.C.C.D.0.-.-.0.L.5	lunatic-v0.1.0	0d	1	500	45	1	0	1	0
10000000W.K8000000.C.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0j	4	10	10550	1	1	0	0
10000001.40000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0E	4	-430	13038	1	1	0	0
10000001.40000400.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0F	1	850	45	1	0	1	0
10000001.40000K00.C.B.L.800.-.-.1.D.6	lunatic-v0.1.0	0H	1	850	43	1	0	1	0
10000001.40G.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0F	1	850	45	1	0	1	0
10000001.G.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0E	4	-375	9769	1	1	0	0
10000001.K0G.C.B.L.800.-.-.1.D.6	lunatic-v0.1.0	0H	1	850	43	1	0	1	0
10000001.W0000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0E	4	-350	11886	1	1	0	0
10000001.W0000400.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0F	1	850	45	1	0	1	0
10000001.W0000K00.C.B.L.800.-.-.1.D.6	lunatic-v0.1.0	0H	1	850	43	1	0	1	0
100000010.40000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0Y	4	-375	15348	1	1	0	0
100000010.40G00000.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0S	1	850	45	1	0	1	0
100000010.G0000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0J	4	-430	13338	1	1	0	0
100000010.G0002000.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0K	1	850	45	1	0	1	0
100000010.W.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	04	4	-560	10517	1	1	0	0
100000010.W0000000.C.D.D.0.-.-.0.L.3	rust-pathfinder-v0.1.0	0G	4	-560	14611	1	0	1	0
100000010.W0000G00.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0k	1	10000	45	1	1	0	0
100000010.m.C.C.L.0.-.-.0.D.4	lunatic-v0.1.0	0D	1	850	45	1	0	1	0
10000002.200000.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	0S	1	500	46	2	0	2	0
10000002.2G0000.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	02	4	-130	10745	2	2	0	0
10000002.40.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	07	1	850	46	1	0	1	0
10000002.60.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	0F	4	115	15737	1	1	0	0
10000002.G.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	02	1	500	46	1	0	1	0
10000002.K.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	03	4	135	7993	1	1	0	0
100000021.406.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0L	4	320	23601	1	1	0	0
100000021.6.B.C.D.0.-.-.0.L.5	lunatic-v0.1.0	0E	1	850	44	1	0	1	0
10000004.20.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	09	1	850	46	1	0	1	0
10000004.A0.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	0G	4	220	13749	1	1	0	0
10000006.2G0000.B.C.D.0.-.-.0.L.5	lunatic-v0.1.0	0T	1	500	44	2	0	2	0
10000006.2m0000.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0Z	4	-325	8462	2	2	0	0
100000080.G0000.C.D.D.0.-.-.0.L.3	lunatic-v0.1.0	0T	1	500	46	1	1	0	0
100000080.m0000.C.C.L.0.-.-.0.D.4	rust-pathfinder-v0.1.0	0Q	4	-350	14729	1	0	1	0
10000009.2W00000.B.C.D.0.-.-.0.L.5	lunatic-v0.1.0	0c	1	850	44	2	0	2	0
10000009.6W00000.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	0S	4	5	20803	2	2	0	0
1000000A.G.B.D.D.4.-.-.1.L.5	lunatic-v0.1.0	05	1	500	44	1	0	1	0
1000000A.m.B.C.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	02	4	165	8068	1	1	0	0
